都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
012025,01B1400014,北海道,函館市,介護医療院喜郷,カイゴイリョウインキキョウ,介護医療院,北海道函館市桔梗１丁目１４番１号,,41.831000499999990,140.728995299999950,0138-34-7707,0138-34-7708,3440005000238,医療法人社団向仁会,01B1400014,,,,https://kojinkai1968.com/,,,,
012025,01B1400030,北海道,函館市,社会医療法人高橋病院　介護医療院,シャカイイリョウホウジンタカハシビョウイン　カイゴイリョウイン,介護医療院,北海道函館市時任町1番2号,,41.781388171126345,140.750299248114170,0138-78-1230,0138-78-1231,8440005000266,社会医療法人高橋病院,01B1400030,,,,https://www.takahashi-group.jp/kaigoiryoin/,,,,
012025,01B1400022,北海道,函館市,介護医療院　竹田病院,カイゴイリョウイン　タケダビョウイン,介護医療院,北海道函館市元町２９番２１号,,41.762840399999990,140.716203299999960,0138-26-5812,0138-22-2785,6440005000251,社団医療法人尚仁会,01B1400022,,,,https://www.takedahospital.or.jp,,,,
012025,01B1400048,北海道,函館市,医療法人聖仁会　森病院　介護医療院,イリョウホウジンセイジンカイ　モリビョウイン　カイゴイリョウイン,介護医療院,北海道函館市桔梗町５５７番地,,41.860333000000000,140.752863900000000,0138-47-2222,0138-47-2200,9440005000257,医療法人聖仁会,01B1400048,,,,http://www.seijinkai-mori.jp/seijinkai/mori/,,,,
012033,01B2000011,北海道,小樽市,本間内科医院介護医療院,ホンマナイカイインカイゴイリョウイン,介護医療院,北海道小樽市稲穂2丁目19番13号,,43.196660400000000,140.995738400000000,0134-25-3361,0134-25-3365,1430005012401,医療法人社団本間内科医院,01B2000011,,,10,https://www.honmanaika.com/,,,,
012041,01B2900012,北海道,旭川市,医療法人修彰会　沼﨑介護医療院,イリョウホウジンシュウショウカイ　ヌマザキカイゴイリョウイン,介護医療院,北海道旭川市8条通8丁目43番地,,43.773388700000000,142.363904700000030,0166-23-2090,0166-25-1053,,医療法人修彰会,01B2900012,,,0,,,,,
012041,01B2900038,北海道,旭川市,佐藤内科医院介護医療院,サトウナイカイインカイゴイリョウイン,介護医療院,北海道旭川市豊岡４条３丁目２番２号佐藤内科医院,佐藤内科医院,43.760313400000000,142.395953599999980,0166-32-3366,0166-32-2824,8450005000422,医療法人社団佐藤内科医院,01B2900038,,,17,http://www.ahmic21.ne.jp/satoh-naikasyonika/,,,,
012041,01B2900046,北海道,旭川市,医療法人清陵会藤井病院介護医療院,イリョウホウジンセイリョウカイフジイビョウインカイゴイリョウイン,介護医療院,北海道旭川市旭町１条３丁目８４１番地の１３８,,43.782679200000000,142.357184399999970,0166-51-1411,0166-51-1412,3450005000419,医療法人清陵会藤井病院,01B2900046,,,,http://www.fujii-hospital.net,,,,
012041,01B2900053,北海道,旭川市,医療法人社団心優会沼﨑介護医療院,イリョウホウジンシャダンシンユウカイヌマザキカイゴイリョウイン,介護医療院,北海道旭川市8条通8丁目43番地,,43.773321400000000,142.364181200000000,0166-23-2090,0166-25-1053,4430005001608,医療法人社団心優会,01B2900053,,,,http://shinyukai-r.or.jp,,,,
012041,01B2900061,北海道,旭川市,介護医療院　旭川高砂台病院,カイゴイリョウインアサヒカワタカサゴダイビョウイン,介護医療院,北海道旭川市高砂台１丁目１番２２号,,43.768306800000000,142.312437900000000,0166-61-5700,0166-61-5089,3450005000352,医療法人社団恩和会,01B2900061,,,,https://takasagodai.com/,,,,
012076,01B4600016,北海道,帯広市,公益財団法人北海道医療団　帯広西病院介護医療院,コウエキザイダンホウジンホッカイドウイリョウダン　オビヒロニシビョウインカイゴイリョウイン,介護医療院,北海道帯広市西23条南1丁目129番地,,42.922212400000000,143.125936200000000,0155-37-3330,0155-37-2038,4460105000498,公益財団法人北海道医療団,01B4600016,,,0,https://www.zhi.or.jp/n/,,,,
012092,01B5900019,北海道,夕張市,介護医療院夕張,カイゴイリョウインユウバリ,介護医療院,北海道夕張市若菜8番地12,,43.026698100000000,141.969882800000000,0123-57-7782,0123-57-7784,2430005001997,社会医療法人豊生会,01B5900019,,,,https://www.houseikai.or.jp/yubari/rouken.html,,,,
012114,01B5300012,北海道,網走市,網走中央病院　介護医療院,イリョウホウジンシャダン　アバシリチュウオウビョウイン　カイゴイリョウイン,介護医療院,北海道網走市南６条東１丁目７番地,,44.019618900000005,144.268527500000000,0152-44-8611,0152-44-1786,1460305002009,医療法人社団桜会,01B5300012,,,0,https://www.abashiri-chuo.or.jp/,,,,
012131,01B3600017,北海道,苫小牧市,医療法人社団玄洋会　道央佐藤病院介護医療院,イリョウホウジンシャダンゲンヨウカイ　ドウオウサトウビョウインカイゴイリョウイン,介護医療院,北海道苫小牧市字樽前234番地,,42.596335300000000,141.426966399999970,0144-67-0236,0144-67-3125,6430005008782,医療法人社団玄洋会,01B3600017,,,0,http://www/douousatou.or.jp/,,,,
012131,01B3600033,北海道,苫小牧市,苫都病院介護医療院,セントビョウインカイゴイリョウイン,介護医療院,北海道苫小牧市若草町５丁目１０番２１号苫都病院,苫都病院,42.642345800000000,141.607155700000000,0144-34-2135,0144-36-2769,7430005008773,医療法人社団嵩仁会,01B3600033,,,0,http://sento-med.com,,,,
012131,01B3600025,北海道,苫小牧市,苫小牧澄川病院介護医療院,トマコマイスミカワビョウインカイゴイリョウイン,介護医療院,苫小牧市澄川町７丁目９番１８号,,42.623846500000000,141.514628500000000,0144-67-3111,0144-67-3114,5430005001540,社会医療法人延山会,01B3600025,,,0,https://www.sumikawa-hp.com/,,,,
012157,01B6100015,北海道,美唄市,医療法人社団宏仁会しろした病院介護医療院,イリョウホウジンシャダンコウジンカイシロシタビョウインカイゴイリョウイン,介護医療院,北海道美唄市大通西1条北1丁目1番,,43.333279700000000,141.860219200000000,0126-63-2780,0126-62-5296,2430005006724,医療法人社団宏仁会しろした病院,01B6100015,,,0,,,,,
012157,01B6100023,北海道,美唄市,医療法人社団慶北会花田病院介護医療院はなまる,イリョウホウジンシャダンケイホクカイハナダビョウインカイゴイリョウインハナマル,介護医療院,北海道美唄市大通東１条北２丁目２番５号,,43.334239699999980,141.861437099999960,0126-68-8700,0126-62-3193,5430005006696,医療法人社団慶北会花田病院,01B6100023,,,60,http://hanada-hp.com,,,,
012173,01B1000012,北海道,江別市,友愛記念病院　介護医療院,ユウアイキネンビョウイン　カイゴイリョウイン,介護医療院,北海道江別市新栄台46番地の1,,43.108577000000000,141.512195400000000,011-383-4124,011-383-4275,7430005005688,医療法人友愛会,01B1000012,,,212,https://yuaikinen.or.jp/nursing-careclinic/,,,,
012289,01B7400018,北海道,深川市,深川第一病院　介護医療院,フカガワダイイチビョウイン　カイゴイリョウイン,介護医療院,北海道深川市あけぼの町１番１号,,43.741471100000010,142.035334900000000,0164-23-3511,0164-22-7176,7450005001578,社会医療法人アンリー・デュナン会,01B7400018,,,,http://www.henry-dunant.or.jp,,,,
012297,01B3000010,北海道,富良野市,介護医療院ふらの,カイゴイリョウインフラノ,介護医療院,北海道富良野市桂木町２番７７号,,43.350416200000000,142.379040300000000,0167-23ｰ6600,0167-22-3508,8450005002121,医療法人社団ふらの西病院,01B3000010,,,,https://www.furano.ne.jp/f-w-hosp/kaigoiryouin.html,,,,
012335,01B3700049,北海道,伊達市,交雄会だて病院介護医療院,コウユウカイダテビョウインカイゴイリョウイン,介護医療院,北海道伊達市山下町1番3,,42.468346814419990,140.858868777693350,0142-21-5551,0142-21-5552,4430005009650,医療法人交雄会,01B3700049,,,,https://koyukai-date.jp/,,,,
012335,01B3700015,北海道,伊達市,介護医療院　セイント・ヴィレッジ,カイゴイリョウイン　セイント・ウ゛ィレッジ,介護医療院,北海道伊達市舟岡町214番地28,,42.467009142938240,140.882723053742470,0142-82-9351,0142-82-9354,8430005009754,社会医療法人慈恵会,01B3700015,,,120,http://www.jikeikai.or.jp,,,,
012343,01B1300016,北海道,北広島市,医療法人社団西の里恵仁会病院　介護医療院,イリョウホウジンシャダンニシノサトケイジンカイビョウイン　カイゴイリョウイン,介護医療院,北海道北広島市西の里506番地,,43.014894865245566,141.497391947254130,011-375-3225,011-375-3325,2430005004760,医療法人社団西の里恵仁会病院,01B1300016,,,0,http://www.nsk-hp.jp/,,,,
012343,01B1300024,北海道,北広島市,介護医療院　えみの里順天,カイゴイリョウイン　エミノサトジュンテン,介護医療院,北海道北広島市大曲６９５番地,,43.005712300000000,141.492275700000000,011-377-8000,011-377-2200,9430005004770,医療法人社団哲栄会,01B1300024,,,,http://www.junten.jp/,,,,
012351,01B7600013,北海道,石狩市,医療法人社団恵愛会茨戸病院　介護医療院,イリョウホウジンシャダンケイアイカイバラトビョウイン　カイゴイリョウイン,介護医療院,北海道石狩市花川東128番地14,,43.168112800000000,141.343049300000000,0133-74-3011,0133-74-3013,3430005004644,医療法人社団恵愛会茨戸病院,01B7600013,,,56,http://barato-hospital.or.jp/,,,,
013374,01B1500011,北海道,七飯町,介護医療院　望ヶ丘医院,カイゴイリョウイン　ノゾミガオカイイン,介護医療院,北海道亀田郡七飯町大川三丁目5番28号,,41.855951700000000,140.721357600000030,0138-65-9101,0138-65-9226,2440005001286,医療法人社団慈友会,01B1500011,,,0,http://www.nozomi.me/,,,,
013943,01B2200017,北海道,蘭越町,昆布温泉介護医療院,コンブオンセンビョウインカイゴイリョウイン,介護医療院,北海道磯谷郡蘭越町字黄金118番地,,42.801066046692660,140.601922903764910,0136-58-2231,0136-58-2906,7430005001811,医療法人社団静和会,01B2200017,,,0,http://www.seiwa-kai.or.jp/konbu-hosp/index.html,,,,
014061,01B2500036,北海道,古平町,古平町介護医療院海のまちクリニック,フルビラチョウカイゴイリョウインウミノマチクリニック,介護医療院,北海道古平郡古平町大字浜町644番地1,,43.257871500000000,140.635240900000000,0135-48-6035,0135-48-6036,1000020014061,古平町,01B2500036,,,0,https://town.furubira.lg.jp,,,,
014087,01B2500028,北海道,余市町,介護医療院なかじま,カイゴイリョウインナカジマ,介護医療院,北海道余市郡余市町黒川町3丁目109番地,,43.188348300000010,140.791606900000030,0135-22-3866,0135-22-7457,4430005008231,医療法人社団滋恒会,01B2500028,,,0,http://nakajima.hajimeyoo.com,,,,
014087,01B2500010,北海道,余市町,医療法人社団倫仁会　介護医療院こじま,イリョウホウジンシャダンリンジンカイ　カイゴイリョウインコジマ,介護医療院,北海道余市郡余市町黒川町7-13小嶋内科,小嶋内科,43.186816900000000,140.792005900000050,0135222245,0135222551,7430005008096,医療法人社団倫仁会,01B2500010,,,24,http://rinjinkai.or.jp/,,,,
014575,01B3100018,北海道,上川町,上川町介護医療院つつじ苑,カミカワチョウカイゴイリョウインツツジエン,介護医療院,北海道上川郡上川町花園町175番地,,43.851657300000000,142.767536200000000,01658-2-1231,01658-2-3908,8000020014575,上川町,01B3100018,,,0,,,,,
014605,01B3000028,北海道,上富良野町,介護医療院上富良野,カイゴイリョウインカミフラノ,介護医療院,北海道空知郡上富良野町大町３丁目２番２０号,,43.454364100000000,142.466116900000000,0167-45-3171,0167-45-4578,3000020014605,上富良野町,01B3000028,,,,,,,,
015113,01B6700020,北海道,猿払村,猿払村介護医療院,サルフツムラカイゴイリョウイン,介護医療院,北海道宗谷郡猿払村鬼志別北町28番地,,45.331920600000000,142.117736700000000,01635-2-3331,01635-2-3480,6000020015113,猿払村,01B6700020,,,,,,,,
015130,01B6700012,北海道,中頓別町,中頓別町国民健康保険病院介護医療院,ナカトンベツチョウコクミンケンコウホケンビョウインカイゴイリョウイン,介護医療院,北海道枝幸郡中頓別町字中頓別175番地中頓別町国民健康保険病院,中頓別町国民健康保険病院,44.970444400000000,142.283527800000000,01634-6-1131,01634-6-1132,5000020015130,中頓別町,01B6700012,,,16,http://sites.google.com/view/nakatombetsu-town-hospital/ホーム,,,,
015474,01B5300020,北海道,小清水町,小清水赤十字病院,コシミズセキジュウジビョウイン,介護医療院,北海道斜里郡小清水町南町2丁目3番3号,,43.855511700000000,144.459732500000000,0152-62-2121,0152-62-3144,6010405002452,日本赤十字社,01B5300020,,,12,http://www.phoenix-c.or.jp/~krchp/,,,,
015555,01B5400010,北海道,遠軽町,医療法人縁紡会遠軽共立医院介護医療院,イリョウホウジンエンボウカイエンガルキョウリツイインカイゴイリョウイン,介護医療院,北海道紋別郡遠軽町大通北１丁目３番地,,44.059556500000010,143.525463900000000,0158-42-5215,0158-42-0776,7460305001896,医療法人縁紡会,01B5400010,,,56,,,,,
015784,01B3600041,北海道,白老町,白老町立介護医療院　えみえみ,シラオイチョウリツカイゴイリョウイン　エミエミ,介護医療院,北海道白老郡白老町日の出町3丁目1番1号,,42.557571942719400,141.367724635581960,0144-84-7805,0144-84-7806,3000020015784,白老町,01B3600041,,,,http://medical.hokkaido.shiraoi.jp,,,,
015849,01B3700023,北海道,洞爺湖町,介護医療院　なのはな,カイゴイリョウイン　ナノハナ,介護医療院,北海道虻田郡洞爺湖町洞爺町５４番地４１,,42.656196329071880,140.831438881753570,0142-87-2311,0142-87-2260,8430005003369,医療法人社団ＣＨＣＰヘルスケアシステム,01B3700023,,,,https://www.toya-onsen-hospital.or.jp/,,,,
016012,01B3800021,北海道,日高町,日高町立介護医療院門別愛生苑,ヒダカチョウリツカイゴイリョウインモンベツアイセイエン,介護医療院,北海道沙流郡日高町門別本町２９番地の３,,42.480236600000000,142.069129100000000,01456-2-6611,01456-2-6600,6000020016012,日高町,01B3800021,,,0,,,,,
016101,01B3800013,北海道,新ひだか町,医療法人社団静和会石井病院介護医療院,イリョウホウジンシャダンセイワカイイシイビョウインカイゴイリョウイン,介護医療院,北海道日高郡新ひだか町静内高砂町３丁目３番１号,,42.350118999999990,142.364044000000000,0146-42-3031,0146-43-3389,9430005009290,医療法人社団静和会石井病院,01B3800013,,,,http://www.ishii-hp.jp/,,,,
016365,01B4700014,北海道,清水町,介護医療院　みかげ,カイゴイリョウインミカゲ,介護医療院,北海道上川郡清水町御影西二条三丁目13,,42.945999800000000,142.936257600000000,0156-63-3711,0156-67-7044,2460105002067,医療法人社団星光会,01B4700014,,,,https://www.seikoukai-mikage.or.jp,,,,
016926,01B4200015,北海道,中標津町,医療法人樹恵会　介護医療院みらいプラス,イリョウホウジンジュケイカイ　カイゴイリョウインミライプラス,介護医療院,北海道標津郡中標津町りんどう町5番地６,,43.543999500000010,144.927558800000000,0153-72-9112,0153-72-9151,2462505000006,医療法人樹恵会,01B4200015,,,0,http://www.ishida-hp.jp/,,,,
022012,02B0100010,青森県,青森市,介護医療院　石木医院,カイゴイリョウイン　イシキイイン,介護医療院,青森県青森市大字浅虫字蛍谷65番地37,,40.889580100000000,140.862848799999940,017-752-3015,017-737-5122,6420005002159,医療法人蛍慈会,02B0100010,,,0,,,,,
022012,02B0100028,青森県,青森市,介護医療院　白取医院,カイゴイリョウイン　シラトリイイン,介護医療院,青森県青森市大字高田字川瀬２９４番地９,,40.768222001791110,140.722828933798950,017-739-2342,017-739-1074,2420005000711,医療法人柏葉会,02B0100028,,,0,,,,,
022012,02B0100036,青森県,青森市,介護医療院カトレア,カイゴイリョウインカトレア,介護医療院,高田川瀬110－1,,40.761587100000010,140.720812700000000,017-739-6100,017-739-3636,9420005000424,社会福祉法人　平元会,02B0100036,,,0,https://heigenkai.jp/,,,,
022021,02B0200018,青森県,弘前市,梅村介護医療院,ウメムラカイゴイリョウイン,介護医療院,青森県弘前市石渡一丁目1番地6,,40.626456700000000,140.454463300000040,0172-32-3593,0172-33-1147,1420005004325,医療法人　芳真会,02B0200018,,,0,,,,,
022021,02B0200034,青森県,弘前市,医療法人聖誠会オリーブ介護医療院,イリョウホウジンセイセイカイオリーブカイゴイリョウイン,介護医療院,青森県弘前市大字新町１５１番地,,40.607154400000006,140.455273600000030,0172-34-3252,0172-34-3253,9420005004301,医療法人聖誠会,02B0200034,,,,http://www.myclinic.ne.jp/ishizawa,,,,
022021,02B0200026,青森県,弘前市,介護医療院くどう,カイゴイリョウインクドウ,介護医療院,青森県弘前市大字石川字石川97番地,,40.552452200000000,140.543095700000000,0172-92-3316,0172-92-2612,1420005004275,医療法人恩幸会,02B0200026,,,0,,,,,
022039,02B0300016,青森県,八戸市,湊病院介護医療院,ミナトビョウインカイゴイリョウイン,介護医療院,青森県八戸市大字新井田字松山下野場7番地15,,40.503924100000020,141.533987300000030,0178-25-0011,0178-25-2712,1420005002725,医療法人清照会,02B0300016,,,48,https://www.seishou.jp/careclinic/,,,,
022039,02B0300024,青森県,八戸市,みちのく記念病院介護医療院,ミチノクキネンビョウインカイゴイリョウイン,介護医療院,青森県八戸市小中野４丁目１番６０号,,40.519572700000000,141.508138100000000,0178-22-3999,0178-46-4625,5013205001344,医療法人杏林会,02B0300024,,,0,,,,,
022055,02B0500029,青森県,五所川原市,医療法人慈仁会　尾野病院,イリョウホウジンジジンカイ　オノビョウイン,介護医療院,青森県五所川原市金木町朝日山453,,40.903485652124765,140.453265049073800,0173-53-2071,0173-53-3420,1420005003797,医療法人慈仁会,02B0500029,,,,http://www.ono-hospital.com,,,,
022098,02B0900013,青森県,つがる市,医療法人誠仁会　介護医療院　尾野病院,イリョウホウジンセイジンカイ　カイゴイリョウイン　オノビョウイン,介護医療院,青森県つがる市木造若竹5,,40.807789100000000,140.391910400000000,0173-42-2133,0173-42-3834,3420005003936,医療法人誠仁会　尾野病院,02B0900013,,,0,http://www.aomori-seijinkai.or.jp,,,,
022101,02B1000011,青森県,平川市,みらい会介護医療院,ミライカイカイゴイリョウイン,介護医療院,青森県平川市柏木町藤山37-5,,40.585784300000000,140.563392199999950,0172-44-3100,0172-44-7590,9420005004961,医療法人みらい会,02B1000011,,,0,https://miraikai.cloud-line.com/kaigoiryouinn/,,,,
024121,02B2500019,青森県,おいらせ町,石田温泉病院介護医療院,イシダオンセンビョウインカイゴイリョウイン,介護医療院,青森県上北郡おいらせ町上前田２１－１,,40.602548900000000,141.431292100000040,0178-52-3611,0178-52-3612,4420005006005,医療法人正恵会,02B2500019,,,40,https://seikeikai-ao.jp,,,,
032018,03B0100027,岩手県,盛岡市,渋民中央病院介護医療院,シブタミチュウオウビョウインカイゴイリョウイン,介護医療院,岩手県盛岡市渋民字大前田53番地2,,39.837654100000010,141.164913400000000,019-683-2336,019-683-2435,6400005002573,医療法人仁妙光会,03B0100027,,,0,http://shibutamihp.byoinnavi.jp,,,,
032018,03B0100050,岩手県,盛岡市,松園病院介護医療院,マツゾノビョウインカイゴイリョウイン,介護医療院,岩手県盛岡市北松園四丁目36番75号,,39.762244200000000,141.177417900000000,019-662-6111,019-661-2090,3400005000687,医療法人共生会,03B0100050,,,,https://matsuzono.jp/kaigoiryouin_information/,,,,
032018,03B0100019,岩手県,盛岡市,介護医療院おいかわ内科クリニック,カイゴイリョウインオイカワナイカクリニック,介護医療院,岩手県盛岡市上田1丁目18番46号,,39.711036000000000,141.140857000000000,019-622-7400,019-652-3373,7400005005575,医療法人天音会,03B0100019,,,,http://www.o-med.net,,,,
032018,03B0100035,岩手県,盛岡市,介護医療院とおやま,カイゴイリョウイントオヤマ,介護医療院,岩手県盛岡市下ノ橋町６－１４,,39.697155400000000,141.149081200000000,019-651-2111,019-624-6060,5400005000677,医療法人遠山病院,03B0100035,,,0,http://www.toyama-byouin.jp,,,,
032018,03B0100043,岩手県,盛岡市,鎌田内科クリニック介護医療院,カマタナイカクリニックカイゴイリョウイン,介護医療院,岩手県盛岡市本宮2-20-1,,39.688806700000000,141.137672500000000,019-636-1725,019-635-2918,7400005000642,医療法人久遠会,03B0100043,,,18,https://www.kamata-cl.com,,,,
032018,03B0100068,岩手県,盛岡市,介護医療院フォーユーみたけ,カイゴイリョウインフォーユーミタケ,介護医療院,岩手県盛岡市みたけ3丁目11番36号,,39.738143000000000,141.113724600000000,019-648-5088,016-601-3118,9400005000970,医療法人敬心会,03B0100068,,,,,,,,
032051,03B0500010,岩手県,花巻市,イーハトーブ介護医療院,イーハトーブカイゴイリョウイン,介護医療院,岩手県花巻市湯口字志戸平14番地1,,39.418984599999980,141.012503400000000,0198-38-5656,0198-38-5666,5013205001344,医療法人杏林会,03B0500010,,,,,,,,
032077,03B0700016,岩手県,久慈市,久慈恵愛病院介護医療院,クジケイアイビョウインカイゴイリョウイン,介護医療院,岩手県久慈市湊町第17地割100番地,,40.200896227940610,141.790333117196670,0194-52-2311,0194-52-2315,5400005005024,社団医療法人祥和会,03B0700016,,,,https://kujikeiai.jimdofree.com/,,,,
042111,04B1100017,宮城県,岩沼市,南浜中央病院介護医療院,ミナミハマチュウオウビョウインカイゴイリョウイン,介護医療院,宮城県岩沼市寺島字北新田111番地,,38.083890400000000,140.919014300000000,0223-36-8875,0223-24-1892,7370805000119,医療法人松涛会,04B1100017,,,42,https://minamihama.or.jp/,,,,
042153,04B1500018,宮城県,大崎市,古川民主病院介護医療院,フルカワミンシュビョウインカイゴイリョウイン,介護医療院,宮城県大崎市古川駅東2-11-14,,38.573234600000000,140.974292100000000,0229-23-5521,0229-24-1544,9370605000630,公益財団法人宮城厚生協会,04B1500018,,,0,http://www.m-kousei.com,,,,
044016,04B2600015,宮城県,松島町,介護医療院松島みどりの家,カイゴイリョウインマツシマミドリノイエ,介護医療院,宮城県宮城郡松島町高城字浜1番地26,,38.378261200000000,141.070167700000000,022-354-2126,022-354-2127,2370605000075,医療法人友仁会,04B2600015,,,0,http://www.matushimahosupital.com/kaigoirouin/,,,,
052027,05B0200015,秋田県,能代市,介護医療院　京病院,カイゴイリョウイン　キョウビョウイン,介護医療院,能代市大町1番8号,,40.212697600000000,140.026441100000060,0185-52-1315,0185-89-4008,1410005003765,医療法人　京回生会,05B0200015,,,0,http://kyohospital.com/kaiseikai/,,,,
052043,05B0400011,秋田県,大館市,介護医療院西大館病院,カイゴイリョウインニシオオダテビョウイン,介護医療院,秋田県大館市川口字上野6番地125,,40.279040900000000,140.475329700000000,0186-49-3211,0186-49-3213,7410005002919,医療法人光智会,05B0400011,,,170,https://kochikai.jp,,,,
052078,05B0700014,秋田県,湯沢市,医療法人小野崎医院　介護医療院,イリョウホウジンオノザキイイン　カイゴイリョウイン,介護医療院,秋田県湯沢市表町3-1-29,,39.166827200000000,140.490777600000000,0183-73-2540,0183-72-6961,6410005002465,医療法人小野崎医院,05B0700014,,,14,http://www.onozaki-h.or.jp/,,,,
052078,05B0700022,秋田県,湯沢市,介護医療院　菅医院,カイゴイリョウイン　スガイイン,介護医療院,秋田県湯沢市小野字東堺77番地1,,39.064526660526650,140.454872582139600,0183-52-2000,0183-52-2717,5410005002615,医療法人せいとく会,05B0700022,,,0,,,,,
052094,05B0900014,秋田県,鹿角市,大湯リハビリ温泉病院介護医療院,オオユリハビリオンセンビョウインカイゴイリョウイン,介護医療院,秋田県鹿角市十和田大湯字湯ノ岱１６番２,,40.298878900000000,140.839693200000060,0186-37-3511,0186-37-3483,9410005003436,医療法人楽山会,05B0900014,,,0,https://oyu-reha.com/,,,,
052094,05B0900028,秋田県,鹿角市,鹿角中央病院・介護医療院,カヅノチュウオウビョウイン・カイゴイリョウイン,介護医療院,秋田県鹿角市花輪字六月田97番地,,40.200308199999990,140.789913400000000,0186-23-4131,0186-23-3330,4410005003432,医療法人　恵愛会,05B0900028,,,0,http://keiai4131.cloudfree.jp,,,,
052108,05B0500018,秋田県,由利本荘市,由利本荘医師会病院介護医療院,ユリホンジョウイシカイビョウインカイゴイリョウイン,介護医療院,秋田県由利本荘市水林456番地4,,39.377504600000030,140.025572500000040,0184-22-0054,0184-22-6738,9410005002058,一般社団法人由利本荘医師会,05B0500018,,,0,http://yurihon-hospital.jp/,,,,
062014,06B0100016,山形県,山形市,長岡医院　介護医療院,ナガオカイイン　カイゴイリョウイン,介護医療院,山形県山形市七日町四丁目５－２０,,38.253032100000020,140.345125100000020,023-622-1191,023-633-8768,,,06B0100016,,,0,,,,,
