全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,郵便番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,子供預かり料金種別,子供預かり料金,子供預かり料金備考,子供預かり開所時間,子供預かり閉所時間,病児保育の有無,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
352071,KD0000500011,山口県下松市,ひだまり保育園,ヒダマリホイクエン,小規模保育施設,352071,,山口県下松市大字西豊井1247,山口県,下松市,大字西豊井,1247,,34.008671,131.866947,,,,,0833-48-8788,,,,,744-0011,,,,19,5ヶ月から,月火水木金土,07:00,19:00,日曜・年末年始等はお休み,,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
352071,KD0000500012,山口県下松市,太陽のテラス,タイヨウノテラス,小規模保育施設,352071,,山口県下松市西柳3-4-27,山口県,下松市,西柳,3-4-27,,34.01448439999999,131.8634706,,,,,0833-45-3610,,,,,744-0018,,,,19,5ヶ月から,月火水木金土,07:00,19:00,土曜は18時まで(日曜・年末年始等はお休み),,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
352071,KD0000500013,山口県下松市,ニチイキッズ下松末武保育園,ニチイキッズクダマツスエタケホイクエン,小規模保育施設,352071,,山口県下松市大字末武中14-3,山口県,下松市,大字末武中,14-3,,34.03389970000001,131.8536453,,,,,0833-48-0255,,,,,744-0023,,,,19,3ヶ月から,月火水木金土,07:00,19:00,日曜・年末年始等はお休み,,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
352071,KD0000500014,山口県下松市,おおぞら保育園下松,オオゾラホイクエンクダマツ,小規模保育施設,352071,,山口県下松市潮音町4-10-5,山口県,下松市,潮音町,4-10-5,,34.0241436,131.8478538,,,,,0833-43-8139,,,,,744-0074,,,,19,5ヶ月から,月火水木金土,07:30,18:30,日曜・年末年始等はお休み,,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
352071,KD0000500015,山口県下松市,あいぐらん保育園下松,アイグランホイクエンクダマツ,認可外保育所,352071,,山口県下松市桜町3-14-33,山口県,下松市,桜町,3-14-33,,34.0180469,131.866394,,,,,0833-48-8061,,,,,744-0019,,,,12,,,,,,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
352071,KD0000500016,山口県下松市,花の子保育園ほくと,ハナノコホイクエンホクト,認可外保育所,352071,,山口県下松市北斗町2-13,山口県,下松市,北斗町,2-13,,34.010189,131.868831,,,,,0833-45-3222,,,,,744-0012,,,,19,,,,,,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/index.html,,,
352071,KD0000500017,山口県下松市,さくらのテラス,サクラノテラス,認可外保育所,352071,,山口県下松市西柳3-5-1,山口県,下松市,西柳,3-5-1,,34.0141398,131.8632987,,,,,0833-45-5850,,,,,744-0018,,,,19,,,,,,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/index.html,,,
352071,KD0000500018,山口県下松市,HUG GARDEN ほしのさと Kids,ハグガーデンホシノサトキッズ,認可外保育所,352071,,山口県下松市生野屋南1-13-1,山口県,下松市,生野屋南,1-13-1,,34.0313728,131.8739669,,,,,0833-48-8832,,,,,744-0033,,,,19,,,,,,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/index.html,,,
352071,KD0000500019,山口県下松市,ひだまり保育園えきみなみ,ヒダマリホイクエンエキミナミ,認可外保育所,352071,,山口県下松市大字西豊井1247,山口県,下松市,大字西豊井,1247,,34.0084791,131.8667886,,,,,0833-48-8788,,,,,744-0011,,,,19,,,,,,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/index.html,,,
352071,KD0000500020,山口県下松市,すみれ保育園,スミレホイクエン,認可外保育所,352071,,山口県下松市南花岡1-19-10,山口県,下松市,南花岡,1-19-10,,34.0319668,131.8614754,,,,,0833-44-7205,,,,,744-0027,,,,19,,,,,,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/index.html,,,
352071,KD0000500021,山口県下松市,花の子保育園,ハナノコホイクエン,認可外保育所,352071,,山口県下松市北斗町2-13,山口県,下松市,北斗町,2-13,,34.010189,131.868831,,,,,0833-45-3222,,,,,744-0012,,,,,,,,,,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/index.html,,,
352071,KD0000500022,山口県下松市,院内保育たから島,インナイホイクタカラジマ,認可外保育所,352071,,山口県下松市生野屋南1-10-1,山口県,下松市,生野屋南,1-10-1,,34.032909,131.8766242,,,,,0833-45-3339,,,,,744-0033,,,,,,,,,,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/index.html,,,
352071,KD0000500023,山口県下松市,キッズルームToy-トイ-,キッズルームトイ,認可外保育所,352071,,山口県下松市せせらぎ町3-13-16,山口県,下松市,せせらぎ町,3-13-16,,34.0182763,131.8588316,,,,,090-7372-9339,,,,,744-0076,,,,,,,,,,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/index.html,,,
352071,KD0000500024,山口県下松市,KIDSHOUSEくだまつ,キッズハウスクダマツ,認可外保育所,352071,,山口県下松市古川町3-5-5,山口県,下松市,古川町,3-5-5,,34.00687509999999,131.8720562,,,,,0833-57-0448,,,,,744-0005,,,,,,,,,,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/index.html,,,
352071,KD0000500025,山口県下松市,認定こども園末光幼稚園,ニンテイコドモエンスエミツヨウチエン,認定こども園（幼稚園型）,352071,,山口県下松市桜町1-2-14,山口県,下松市,桜町,1-2-14,,34.0176333,131.8722147,,,,,0833-41-3866,,,,,744-0019,,,,230,(幼)3歳から(保)1歳6ヶ月から,月火水木金土,07:30,19:00,(幼)・8時30分から15時まで・預かり保育(平日)7時30分から8時30分まで、15時から19時まで・預かり保育(土曜)7時30分から18時30分まで　(保)・土曜は18時30分まで,有,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
352071,KD0000500026,山口県下松市,認定こども園下松慈光幼稚園,ニンテイコドモエンクダマツジコウヨウチエン,認定こども園（幼稚園型）,352071,,山口県下松市大字西豊井773-1,山口県,下松市,大字西豊井,773-1,,34.008692,131.872534,,,,,0833-41-0330,,,,,744-0011,,,,132,(幼)3歳から(保)1歳から,月火水木金土,07:30,18:30,(幼)・8時30分から14時30分まで・預かり保育(平日)14時30分から17時まで・預かり保育(土曜)8時30分から17時まで,有,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
352071,KD0000500027,山口県下松市,江口幼稚園,エグチヨウチエン,私立幼稚園,352071,,山口県下松市大字東豊井1059-17,山口県,下松市,大字東豊井,1059-17,,33.998509,131.877861,,,,,0833-41-2570,,,,,744-0002,,,,75,3歳から,月火水木金,08:30,15:00,・預かり保育(7時30分から8時30分まで)・預かり保育(15時から17時30分まで),有,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/youtien-itiran.html,,,
352071,KD0000500028,山口県下松市,下松暁の星幼稚園,クダマツアケノホシヨウチエン,私立幼稚園,352071,,山口県下松市旗岡1-5-1,山口県,下松市,旗岡,1-5-1,,34.010394,131.876844,,,,,0833-41-4019,,,,,744-0006,,,,60,3歳から,月火水木金,08:30,15:00,・水曜は14時まで・預かり保育(17時15分まで),有,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/youtien-itiran.html,,,
352071,KD0000500029,山口県下松市,下松幼稚園,クダマツヨウチエン,私立幼稚園,352071,,山口県下松市大手町1-5-10,山口県,下松市,大手町,1-5-10,,34.011997,131.866698,,,,,0833-44-1705,,,,,744-0015,,,,75,3歳から,月火水木金,08:30,14:30,・預かり保育(8時から8時30分まで)・預かり保育(14時30分から17時30分まで),有,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/youtien-itiran.html,,,
352071,KD0000500030,山口県下松市,鋼鈑幼稚園,コウハンヨウチエン,私立幼稚園,352071,,山口県下松市美里町1-9-1,山口県,下松市,美里町,1-9-1,,34.0238185,131.8645036,,,,,0833-43-0581,,,,,744-0073,,,,120,3歳から,月火水木金,08:30,14:30,・預かり保育(14時30分から17時まで),有,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/youtien-itiran.html,,,
352071,KD0000500031,山口県下松市,四恩幼稚園,シオンヨウチエン,認定こども園（幼保連携型）,352071,,山口県下松市大字末武上1235,山口県,下松市,大字末武上,1235,,34.0371022,131.8739281,,,,,0833-43-7245,,,,,744-0024,,,,215,(幼)3歳から(保)10ヶ月から,月火水木金土,07:30,18:30,(幼)・8時15分から14時30分まで・預かり保育(平日)14時30分から17時まで,有,,,,,,有,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/youtien-itiran.html,,,
352071,KD0000500033,山口県下松市,下松児童の家１・２,クダマツジドウノイエ１・２,放課後児童クラブ,352071,,山口県下松市大字西豊井698,山口県,下松市,大字西豊井,698,,34.0129822,131.8718643,,,,,0833-41-6566,,,,,744-0011,,,,80,小学生,月火水木金土,,18:30,(平日)放課後から18時30分まで(土曜等小学校休業日)8時から18時30分まで,無,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/gakudou.html,,,
352071,KD0000500034,山口県下松市,下松児童の家３・４,クダマツジドウノイエ３・４,放課後児童クラブ,352071,,山口県下松市大字西豊井698,山口県,下松市,大字西豊井,698,,34.0128266,131.871943,,,,,0833-41-0405,,,,,744-0011,,,,80,小学生,月火水木金土,,18:30,(平日)放課後から18時30分まで(土曜等小学校休業日)8時から18時30分まで,無,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/gakudou.html,,,
352071,KD0000500035,山口県下松市,豊井児童の家,トヨイジドウノイエ,放課後児童クラブ,352071,,山口県下松市大字東豊井1134,山口県,下松市,大字東豊井,1134,,33.999587,131.878585,,,,,0833-41-2671,,,,,744-0002,,,,35,小学生,月火水木金土,,18:30,(平日)放課後から18時30分まで(土曜等小学校休業日)8時から18時30分まで,無,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/gakudou.html,,,
352071,KD0000500036,山口県下松市,久保児童の家１・２,クボジドウノイエ１・２,放課後児童クラブ,352071,,山口県下松市大字河内944-24,山口県,下松市,大字河内,944-24,,34.028658,131.906702,,,,,0833-46-3780,,,,,744-0061,,,,80,小学生,月火水木金土,,18:30,(平日)放課後から18時30分まで(土曜等小学校休業日)8時から18時30分まで,無,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/gakudou.html,,,
352071,KD0000500037,山口県下松市,東陽児童の家,トウヨウジドウノイエ,放課後児童クラブ,352071,,山口県下松市東陽4-17-1,山口県,下松市,東陽,4-17-1,,34.0358425,131.9125726,,,,,080-4320-3212,,,,,744-0043,,,,50,小学生,月火水木金土,,18:30,(平日)放課後から18時30分まで(土曜等小学校休業日)8時から18時30分まで,無,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/gakudou.html,,,
352071,KD0000500038,山口県下松市,花岡児童の家１,ハナオカジドウノイエ１,放課後児童クラブ,352071,,山口県下松市大字末武上264-5,山口県,下松市,大字末武上,264-5,,34.0356234,131.8757134,,,,,0833-44-1042,,,,,744-0024,,,,40,小学生,月火水木金土,,18:30,(平日)放課後から18時30分まで(土曜等小学校休業日)8時から18時30分まで,無,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/gakudou.html,,,
352071,KD0000500039,山口県下松市,花岡児童の家２・３・４・５,ハナオカジドウノイエ２・３・４・５,放課後児童クラブ,352071,,山口県下松市大字生野屋412-1,山口県,下松市,大字生野屋,412-1,,34.0387936,131.8737923,,,,,0833-44-0500,,,,,744-0031,,,,160,小学生,月火水木金土,,18:30,(平日)放課後から18時30分まで(土曜等小学校休業日)8時から18時30分まで,無,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/gakudou.html,,,
352071,KD0000500040,山口県下松市,公集児童の家１・２,コウシュウジドウノイエ１・２,放課後児童クラブ,352071,,山口県下松市潮音町1-2-22,山口県,下松市,潮音町,1-2-22,,34.01824000000001,131.856327,,,,,0833-43-4239,,,,,744-0074,,,,80,小学生,月火水木金土,,18:30,(平日)放課後から18時30分まで(土曜等小学校休業日)8時から18時30分まで,無,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/gakudou.html,,,
352071,KD0000500050,山口県下松市,公集児童の家３・４・５,コウシュウジドウノイエ３・４・５,放課後児童クラブ,352071,,山口県下松市潮音町1-2-1,山口県,下松市,潮音町,1-2-1,,34.0181792706151,131.85650477179638,,,,,0833-44-8119,,,,,744-0074,,,,135,小学生,月火水木金土,,18:30,(平日)放課後から18時30分まで(土曜等小学校休業日)8時から18時30分まで,無,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/gakudou.html,,,
352071,KD0000500041,山口県下松市,中村児童の家１・２,ナカムラジドウノイエ１・２,放課後児童クラブ,352071,,山口県下松市清瀬町2-4-11,山口県,下松市,清瀬町,2-4-11,,34.0297613,131.8562963,,,,,0833-41-7343,,,,,744-0071,,,,75,小学生,月火水木金土,,18:30,(平日)放課後から18時30分まで(土曜等小学校休業日)8時から18時30分まで,無,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/gakudou.html,,,
352071,KD0000500042,山口県下松市,ほがらか児童の家,ホガラカジドウノイエ,放課後児童クラブ,352071,,山口県下松市大字山田256,山口県,下松市,大字山田,256,,34.034722,131.9057299,,,,,0833-47-1717,,,,,744-0041,,,,25,小学生,月火水木金土,,19:00,(平日)放課後から19時まで(土曜等小学校休業日)8時から19時まで,無,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/gakudou.html,,,
352071,KD0000500043,山口県下松市,下松市子育て支援センター,クダマツシコソダテシエンセンター,子育て支援センター,352071,,山口県下松市楠木町1-11-14,山口県,下松市,楠木町,1-11-14,下松市児童センター「わかば」,34.0204923,131.8634817,,,,,0833-41-3627,,,,,744-0029,,,,,原則、未就園児,月火水木金,09:00,16:00,祝日・年末年始等はお休み,無,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/kosodatesienkyotensisetu.html,,,
352071,KD0000500044,山口県下松市,子育て支援センターくだまつ,コソダテシエンセンタークダマツ,子育て支援センター,352071,,山口県下松市美里町3-22-20,山口県,下松市,美里町,3-22-20,平田保育園,34.0232244,131.8599798,,,,,0833-41-1588,,,,,744-0073,,,,,原則、未就園児,月水木金土,09:00,14:00,祝日・年末年始等はお休み,無,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/kosodatesienkyotensisetu.html,,,
352071,KD0000500045,山口県下松市,子育て支援センターあいりん,コソダテシエンセンターアイリン,子育て支援センター,352071,,山口県下松市潮音町1-7-15,山口県,下松市,潮音町,1-7-15,愛隣幼児学園,34.017481,131.8544317,,,,,0833-41-0735,,,,,744-0074,,,,,原則、未就園児,月火木金土,09:00,14:00,祝日・年末年始等はお休み,無,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/kosodatesienkyotensisetu.html,,,
352071,KD0000500046,山口県下松市,あいあいキッズ星プラザ,アイアイキッズホシプラザ,子育て支援センター,352071,,山口県下松市中央町21-3,山口県,下松市,中央町,21-3,ゆめタウン下松星プラザ３階,34.01846280000001,131.8632064,,,,,0833-45-1153,,,,,744-0025,,,,,原則、未就園児,月火木金土日,11:00,16:00,祝日・年末年始等はお休み,無,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/kosodatesienkyotensisetu.html,,,
352071,KD0000500047,山口県下松市,下松市児童センター「わかば」,クダマツシジドウセンター「ワカバ」,その他,352071,,山口県下松市楠木町1-11-14,山口県,下松市,楠木町,1-11-14,,34.0204923,131.8634817,,,,,0833-48-5432,,,,,744-0029,,,,,3ヶ月から2歳児クラス相当まで,月火水木金,08:30,17:00,祝日・年末年始等はお休み,有,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/wakaba.html,,,
352071,KD0000500048,山口県下松市,タツノ子ハウス,タツノコハウス,その他,352071,,山口県下松市大字河内1048-1,山口県,下松市,大字河内,1048-1,阿部クリニック,34.024154,131.8956874,,,,,0833-47-0001,,,,,744-0061,,,,10,3ヶ月から小学校6年生まで,月火水木金土,08:00,18:00,祝日・年末年始等はお休み,無,,,,,,有,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/index.html,,,
352071,KD0000500049,山口県下松市,さつき保育園,サツキホイクエン,小規模保育施設,352071,,山口県下松市南花岡1-19-9,山口県,下松市,南花岡,1-19-9,,34.03203450000001,131.8612716,,,,,0833-44-7343,,,,,744-0027,,,,19,5ヶ月から,月火水木金土,7:00,19:00,日曜・年末年始等はお休み,,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
