全国地方公共団体コード,ID,地方公共団体名,介護サービス事業所名称,介護サービス事業所名称_カナ,介護サービス事業所名称_英字,実施サービス,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,画像,画像_ライセンス,備考
352071,KD0000900011,山口県下松市,居宅介護支援事業所星ひろば,シテイキョタクカイゴシエンジギョウショホシヒロバ,,居宅介護支援事業所,352071,,山口県下松市古川町3-1-2,山口県,下松市,古川町3,1-2,,34.0076045,131.8721823,,,0833-48-9232,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900012,山口県下松市,エトワール居宅介護支援事業所,エトワールキョタクカイゴシエンジギョウショ,,居宅介護支援事業所,352071,,山口県下松市大字切山165,山口県,下松市,大字切山,165,,34.0338399,131.9185036,,,0833-46-3160,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900013,山口県下松市,桜町介護相談室,サクラチョウカイゴソウダンシツ,,居宅介護支援事業所,352071,,山口県下松市桜町2-17-14,山口県,下松市,桜町2,17-14,,34.01826,131.86726,,,0833-43-0866,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900014,山口県下松市,白石プランニング,シライシプランニング,,居宅介護支援事業所,352071,,山口県下松市潮音町3-11-27,山口県,下松市,潮音朝3,11-27,,34.022083,131.849963,,,090-2002-8949,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900015,山口県下松市,居宅介護支援事業所あらな,シテイキョタクカイゴシエンジギョウショアラナ,,居宅介護支援事業所,352071,,山口県下松市大字西豊井617-1,山口県,下松市,大字西豊井,617-1,,34.0080292,131.8701419,,,090-3888-1333,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900016,山口県下松市,下松市地域包括支援センター,クダマツシチイキホウカツシエンセンター,,介護予防支援事業所,352071,,山口県下松市大手町3-3-3（下松市役所内）,山口県,下松市,大手町3,3-3,（下松市役所内）,34.0147356,131.8700429,,,0833-45-1838,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900017,山口県下松市,松寿苑指定居宅介護支援事業所,ショウジュエンシテイキョタクカイゴシエンジギョウショ,,介護予防支援事業所,352071,,山口県下松市大字来巻944-1,山口県,下松市,大字来巻,944-1,,34.023756,131.9299953,,,0833-47-1200,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900018,山口県下松市,白石プランニング,シライシプランニング,,介護予防支援事業所,352071,,山口県下松市潮音町3-11-27,山口県,下松市,潮音朝3,11-27,,34.022083,131.849963,,,090-2002-8949,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900019,山口県下松市,居宅介護支援事業所あらな,シテイキョタクカイゴシエンジギョウショアラナ,,介護予防支援事業所,352071,,山口県下松市大字西豊井617-1,山口県,下松市,大字西豊井,617-1,,34.0080292,131.8701419,,,090-3888-1333,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900020,山口県下松市,特別養護老人ホーム松寿苑,トクベツヨウゴロウジンホームショウジュエン,,介護福祉施設サービス（特別養護老人ホーム）,352071,,山口県下松市大字来巻944-1,山口県,下松市,大字来巻,944-1,,34.0236471,131.9299712,,,0833-47-1220,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900021,山口県下松市,特別養護老人ホームほしのさと,トクベツヨウゴロウジンホームホシノサト,,介護福祉施設サービス（特別養護老人ホーム）,352071,,山口県下松市生野屋南1-13-1,山口県,下松市,生野屋南1,13-1,,34.0314758,131.8741674,,,0833-45-3100,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900022,山口県下松市,地域密着型特別養護老人ホーム星てらす,チイキミッチャクガタトクベツヨウゴロウジンホームホシテラス,,介護福祉施設サービス（特別養護老人ホーム）,352071,,山口県下松市古川町3-1-2,山口県,下松市,古川町3,1-2,,34.0076421,131.8723973,,,0833-44-9516,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900023,山口県下松市,地域密着型特別養護老人ホームほがらか,チイキミッチャクガタトクベツヨウゴロウジンホームホガラカ,,介護福祉施設サービス（特別養護老人ホーム）,352071,,山口県下松市大字山田256,山口県,下松市,大字山田,256,,34.034765,131.905605,,,0833-47-1717,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900024,山口県下松市,介護老人保健施設ふくしの里,カイゴロウジンホケンシセツフクシノサト,,介護老人保健施設,352071,,山口県下松市生野屋南1-10-1,山口県,下松市,生野屋南1,10-1,,34.032642,131.876613,,,0833-45-3360,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900025,山口県下松市,老人保健施設成幸苑,ロウジンホケンシセツセイコウエン,,介護老人保健施設,352071,,山口県下松市新川2-1-1,山口県,下松市,新川2,1-1,,34.0088408,131.8630655,,,0833-41-7577,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900026,山口県下松市,グループホーム清瀬の里,グループホームキヨセノサト,,認知症対応型共同生活介護（グループホーム）,352071,,山口県下松市清瀬町3-1-10,山口県,下松市,清瀬町3,1-10,,34.030345,131.854837,,,0833-44-5801,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900027,山口県下松市,グループホーム元気,グループホームゲンキ,,認知症対応型共同生活介護（グループホーム）,352071,,山口県下松市大字山田256,山口県,下松市,大字山田,256,,34.034768,131.905605,,,0833-47-1166,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900028,山口県下松市,グループホームのんびり村米川,グループホームノンビリムラヨネガワ,,認知症対応型共同生活介護（グループホーム）,352071,,山口県下松市大字下谷179,山口県,下松市,大字下谷,179,,34.0816306,131.8774424,,,0833-53-6688,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900029,山口県下松市,はぴね周南,ハピネシュウナン,,認知症対応型共同生活介護（グループホーム）,352071,,山口県下松市大字河内1070-1,山口県,下松市,大字河内,1070-1,,34.0226669,131.8998565,,,0833-47-2225,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900030,山口県下松市,グループホーム幸ヶ丘,グループホームサチガオカ,,認知症対応型共同生活介護（グループホーム）,352071,,山口県下松市大字山田111-4,山口県,下松市,大字山田,111-4,,34.031807,131.8986779,,,0833-47-3009,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900031,山口県下松市,グループホーム笠戸,グループホームカサド,,認知症対応型共同生活介護（グループホーム）,352071,,山口県下松市大字笠戸島10032-38,山口県,下松市,大字笠戸島,10032-38,,33.9520393,131.8508482,,,0833-52-1156,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900032,山口県下松市,グループホームふぁみりあ,グループホームファミリア,,認知症対応型共同生活介護（グループホーム）,352071,,山口県下松市藤光町1-12-18,山口県,下松市,藤光町1,12-18,,34.0241861,131.8668472,,,0833-48-8732,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900033,山口県下松市,グループホーム和み潮音,グループホームナゴミシオネ,,認知症対応型共同生活介護（グループホーム）,352071,,山口県下松市潮音町4-5-17,山口県,下松市,潮音町4,5-17,,34.0224942,131.8475505,,,0833-44-9895,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900034,山口県下松市,のんびり村花岡,ノンビリムラハナオカ,,特定施設入居者生活介護,352071,,山口県下松市大字末武上1800-1,山口県,下松市,大字末武上,1800-1,,34.0362472,131.8706652,,,0833-48-3388,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900035,山口県下松市,軽費老人ホーム特定施設グランてらす下松中央,ケイヒロウジンホームトクテイシセツグランテラスクダマツチュウオウ,,特定施設入居者生活介護,352071,,山口県下松市古川町3-1-2,山口県,下松市,古川町3,1-2,,34.0074078,131.8720655,,,0833-48-9232,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900036,山口県下松市,下松市社会福祉協議会指定訪問介護事業所,クダマツシシャカイフクシキョウギカイシテイホウモンカイゴジギョウショ,,訪問介護,352071,,山口県下松市西市2-10-16,山口県,下松市,西市2,10-16,,34.012083,131.858627,,,0833-41-2720,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900037,山口県下松市,JA訪問介護ふれあい下松,ジェイエイホウモンカイゴフレアイクダマツ,,訪問介護,352071,,山口県下松市大字河内1933-1,山口県,下松市,大字河内,1933-1,,34.020694,131.88411,,,0833-43-6620,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900038,山口県下松市,指定訪問介護事業所げんき,シテイホウモンカイゴジギョウショゲンキ,,訪問介護,352071,,山口県下松市大字西豊井1655-3,山口県,下松市,大字西豊井,1655-3,,34.018663,131.875538,,,0833-45-2200,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900039,山口県下松市,サンキ・ウエルビィ介護センター下松,サンキ・ウエルビィカイゴセンタークダマツ,,訪問介護,352071,,山口県下松市大字西豊井915-1,山口県,下松市,大字西豊井,915-1,,34.0137337,131.869863,,,0833-48-1235,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900040,山口県下松市,ニチイケアセンター下松,ニチイケアセンタークダマツ,,訪問介護,352071,,山口県下松市せせらぎ町1-2-31,山口県,下松市,せせらぎ町1,2-31,,34.016243,131.860726,,,0833-48-1080,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900041,山口県下松市,訪問介護友遊,ホウモンカイゴユウユウ,,訪問介護,352071,,山口県下松市大字河内1897,山口県,下松市,大字河内,1897,,34.021288,131.887382,,,0833-45-6501,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900042,山口県下松市,訪問介護ステーションブリスケア,ホウモンカイゴステーションブリスケア,,訪問介護,352071,,山口県下松市望町1-11-28,山口県,下松市,望町1,11-28,,34.0280603,131.8610232,,,0833-48-1088,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900043,山口県下松市,ヘルパーステーションねがい星,ヘルパーステーションネガイボシ,,訪問介護,352071,,山口県下松市東陽6-1-3,山口県,下松市,東陽6,1-1,,34.0322838,131.9140457,,,0833-46-0015,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900044,山口県下松市,訪問介護事業所であい,ホウモンカイゴジギョウショデアイ,,訪問介護,352071,,山口県下松市大字河内1048-1,山口県,下松市,大字河内,1048-1,,34.024154,131.8956874,,,0833-47-0001,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900045,山口県下松市,松寿苑ホームヘルパーステーション,ショウジュエンホームヘルパーステーション,,訪問介護,352071,,山口県下松市大字来巻944-1,山口県,下松市,大字来巻,944-1,,34.023756,131.9299953,,,0833-47-0753,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900046,山口県下松市,えむ訪問介護事業所,エムホウモンカイゴジギョウショ,,訪問介護,352071,,山口県下松市古川町4-4-12　ゆうきビル3F,山口県,下松市,古川町4,4-12,ゆうきビル3F,34.0058913,131.8708342,,,0833-44-9830,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900047,山口県下松市,訪問介護ステーション　ココロ,ホウモンカンイゴステーション　ココロ,,訪問介護,352071,,山口県下松市大手町25-18ティティ商事ビル3F,山口県,下松市,大手町2,5-18,ティティ商事ビル3F,34.01298,131.86691,,,0833-44-7888,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900048,山口県下松市,グレイシア下松ヘルパーステーション,グレイシアクダマツヘルパーステーション,,訪問介護,352071,,山口県下松市中島町21-50,山口県,下松市,中島町2,1-50,,34.0104683,131.8602042,,,0833-44-5811,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900049,山口県下松市,指定訪問介護事業所あらなほーむ,シテイホウモンカイゴジギョウショアラナホーム,,訪問介護,352071,,山口県下松市大字西豊井617-1,山口県,下松市,大字西豊井,617-1,,34.0080292,131.8701419,,,0833-57-0538,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900050,山口県下松市,ニチイケアセンター下松,ニチイケアセンタークダマツ,,訪問入浴,352071,,山口県下松市せせらぎ町1-2-31,山口県,下松市,せせらぎ町1,2-31,,34.016243,131.860726,,,0833-48-1080,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900051,山口県下松市,訪問看護ステーション下松・きらら,ホウモンカンゴステーションクダマツ・キララ,,訪問看護,352071,,山口県下松市生野屋南1-10-1,山口県,下松市,生野屋南1,10-1,,34.032642,131.876613,,,0833-45-3370,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900052,山口県下松市,リハビリ&ケア訪問看護ステーションのあ下松,リハビリケアホウモンカンゴステーションノアクダマツ,,訪問看護,352071,,山口県下松市藤光町1-10-31,山口県,下松市,藤光町1,10-31,,34.0227735,131.8665567,,,0833-44-7360,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900053,山口県下松市,訪問看護ステーション　ココロ,ホウモンカンゴステーション　ココロ,,訪問看護,352071,,山口県下松市大手町2-5-18　ティティ商事ビル3F,山口県,下松市,大手町2,5-18,ティティ商事ビル3F,34.01298,131.86691,,,0833-44-7888,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900054,山口県下松市,介護老人保健施設ふくしの里,カイゴロウジンホケンシセツフクシノサト,,訪問リハビリテーション,352071,,山口県下松市生野屋南1-10-1,山口県,下松市,生野屋南1,10-1,,34.032642,131.876613,,,0833-45-3360,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900055,山口県下松市,松寿苑デイサービスセンター,ショウジュエンデイサービスセンター,,通所介護（デイサービス）,352071,,山口県下松市大字来巻944-1,山口県,下松市,大字来巻,944-1,,34.023831,131.930287,,,0833-47-0753,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900056,山口県下松市,ほしのさとデイサービスセンター,ホシノサトデイサービスセンター,,通所介護（デイサービス）,352071,,山口県下松市生野屋南1-13-1,山口県,下松市,生野屋南1,13-1,,34.0313728,131.8739669,,,0833-45-3100,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900057,山口県下松市,さくら苑デイサービスセンター,サクラエンデイサービスセンター,,通所介護（デイサービス）,352071,,山口県下松市瑞穂町2-21-1,山口県,下松市,瑞穂町2,21-1,,34.0237061,131.8519855,,,0833-44-4515,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900058,山口県下松市,生活リハビリセンター友・遊,セイカツリハビリセンターユウ・ユウ,,通所介護（デイサービス）,352071,,山口県下松市大字河内1897,山口県,下松市,大字河内,1897,,34.021288,131.887382,,,0833-45-6501,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900059,山口県下松市,ニチイケアセンター下松,ニチイケアセンタークダマツ,,通所介護（デイサービス）,352071,,山口県下松市せせらぎ町1-2-31,山口県,下松市,せせらぎ町1,2-31,,34.016243,131.860726,,,0833-48-1080,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900060,山口県下松市,デイサービスセンターいこい,デイサービスセンターイコイ,,通所介護（デイサービス）,352071,,山口県下松市大手町2-10-29,山口県,下松市,大手町2,10-29,,34.0126,131.867656,,,0833-43-3240,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900061,山口県下松市,JAデイサービス久保,ジェイエイデイサービスクボ,,通所介護（デイサービス）,352071,,山口県下松市大字河内735,山口県,下松市,大字河内,735,,34.0289854,131.9076901,,,0833-47-2294,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900062,山口県下松市,来歩リハビリステージ,ライフリハビリステージ,,通所介護（デイサービス）,352071,,山口県下松市古川町4-5-7,山口県,下松市,古川町4,5-7,,34.006276,131.8713641,,,0833-48-3500,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900063,山口県下松市,デイサービスセンターブリスケア,デイサービスセンターブリスケア,,通所介護（デイサービス）,352071,,山口県下松市望町1-11-28,山口県,下松市,望町1,11-28,,34.0280603,131.8610232,,,0833-48-1088,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900064,山口県下松市,JAデイサービス生野屋,ジェイエイデイサービスイクノヤ,,通所介護（デイサービス）,352071,,山口県下松市生野屋南3-8-3,山口県,下松市,生野屋南3,8-3,,34.0354209,131.8938646,,,0833-45-2294,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900065,山口県下松市,デイサービスマル,デイサービスマル,,通所介護（デイサービス）,352071,,山口県下松市大字来巻951-3,山口県,下松市,大字来巻,951-3,,34.023,131.929842,,,0833-46-2668,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900066,山口県下松市,デイサービスセンターねがい星,デイサービスセンターネガイボシ,,通所介護（デイサービス）,352071,,山口県下松市東陽6-1-1,山口県,下松市,東陽6,1-1,,34.0321375,131.9141814,,,0833-46-0015,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900067,山口県下松市,デイサービスセンター星ひろば,デイサービスセンターホシヒロバ,,通所介護（デイサービス）,352071,,山口県下松市古川町3-1-2,山口県,下松市,古川町3,1-2,,34.0075883,131.8722156,,,0833-48-8545,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900068,山口県下松市,デイサービス和（地域密着型通所介護）,デイサービスヤワラカ,,通所介護（デイサービス）,352071,,山口県下松市望町3-4-24,山口県,下松市,望町3,4-24,,34.0275824,131.8586604,,,0833-48-9579,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900069,山口県下松市,デイホーム土屋下松（地域密着型通所介護）,デイホームツチヤクダマツ,,通所介護（デイサービス）,352071,,山口県下松市藤光町1-19-4,山口県,下松市,藤光町1,19-4,,34.025182,131.867148,,,0833-48-8272,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900070,山口県下松市,のんびり村花岡デイサービスセンター,ノンビリムラハナオカデイサービスセンター,,通所介護（デイサービス）,352071,,山口県下松市末武上1800-1,山口県,下松市,末武上,1800-1,,34.0362472,131.8706652,,,0833-48-3388,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900071,山口県下松市,デイサービスはぴね周南（認知症対応型通所介護）,デイサービスハピネシュウナン（ニンチショウタイオウガタツウショカイゴ）,,通所介護（デイサービス）,352071,,山口県下松市大字河内1070-1,山口県,下松市,大字河内,1070-1,,34.0226669,131.8998565,,,0833-47-2224,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900072,山口県下松市,デイサービスセンター笠戸,デイサービスセンターカサド,,通所介護（デイサービス）,352071,,山口県下松市大字笠戸島10032-38,山口県,下松市,大字笠戸島,10032-38,,33.9516826,131.8514892,,,0833-52-1155,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900073,山口県下松市,えむデイサービス,エムデイサービス,,通所介護（デイサービス）,352071,,山口県下松市古川町15-5,山口県,下松市,古川町1,5-5,,34.0080426,131.8698739,,,0833-44-7977,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900074,山口県下松市,グレイシア下松デイサービスセンター,グレイシアクダマツデイサービスセンター,,通所介護（デイサービス）,352071,,山口県下松市中島町21-50,山口県,下松市,中島町2,1-50,,34.0104683,131.8602042,,,0833-44-5811,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900075,山口県下松市,真樹苑デイサービスセンター,シンジュエンデイサービスセンター,,通所介護（デイサービス）,352071,,山口県下松市瑞穂町416-16,山口県,下松市,瑞穂町4,16-16,,34.0253448,131.84666,,,0833-48-8882,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900076,山口県下松市,多機能型事業所来歩,タキノウガタジギョウショライフ,,通所介護（デイサービス）,352071,,山口県下松市西柳3-4-27,山口県,下松市,西柳3,4-27,,34.0144844,131.8634706,,,0833-45-3600,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900077,山口県下松市,老人保健施設成幸苑,ロウジンホケンシセツセイコウエン,,通所リハビリテーション,352071,,山口県下松市新川2-1-1,山口県,下松市,新川2,1-1,,34.0088411,131.8630646,,,0833-41-7577,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900078,山口県下松市,介護老人保健施設ふくしの里,カイゴロウジンホケンシセツフクシノサト,,通所リハビリテーション,352071,,山口県下松市生野屋南1-10-1,山口県,下松市,生野屋南1,10-1,,34.032642,131.876613,,,0833-45-3360,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
