都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,介護サービス事業所名称,介護サービス事業所名称_カナ,実施サービス,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,備考
山口県,,山口県,,訪問介護ステーション にじの丘,,訪問介護,下関市菊川町田部223－1,,34.108871,131.038406,083-287-2269,,083-287-2212,,社会福祉法人 菊水会,3570103972,,,,,
山口県,,山口県,,サンキ・ウエルビィ介護センター下関,,訪問介護,下関市生野町1－4－10－2,,33.981506,130.934189,083-250-1127,,083-252-0611,,サンキ・ウエルビィ株式会社,3570104137,,,,,
山口県,,山口県,,林田クリニックヘルパーステーションそよ風,,訪問介護,下関市山の口町1－30,,33.968624,130.935013,083-242-5810,,083-242-5811,,医療法人社団林田クリニック,3570104186,,,,,
山口県,,山口県,,夢ステーションすいれん花,,訪問介護,下関市一の宮町4－11－27,,33.994587,130.950394,083-227-4171,,083-227-4172,,株式会社煌青,3570104624,,,,,
山口県,,山口県,,ＩＭＬヘルパーステーション,,訪問介護,下関市一の宮本町1－7－17,,34.002052,130.951111,083-227-2427,,083-227-2439,,株式会社インマイライフ,3570104814,,,,,
山口県,,山口県,,ヘルパーステーション木蘭,,訪問介護,下関市豊浦町黒井1536－1,,34.121181,130.911331,083-774-3077,,083-774-3044,,特定非営利活動法人宅老所あじさい,3570105217,,,,,
山口県,,山口県,,ヘルパーステーション華園,,訪問介護,下関市豊浦町川棚4040－1　コンフォールⅡ号館103号室,,34.168091,130.95723,083-242-2336,,083-775-1012,,株式会社華園,3570105357,,,,,
山口県,,山口県,,みらいヘルパーステーション,,訪問介護,下関市幡生宮の下町8－12,,33.980213,130.933441,083-242-1221,,083-249-5458,,株式会社ウエルケア,3570105415,,,,,
山口県,,山口県,,ヘルパーステーション夢叶,,訪問介護,下関市山の田中央町1－18,,33.986187,130.927872,083-255-3003,,083-255-3004,,株式会社 ケアセラピー,3570105464,,,,,
山口県,,山口県,,ハピネスケア,,訪問介護,下関市幸町6－26,,33.961933,130.94278,083-227-2405,,083-227-2425,,株式会社フレックス,3570105613,,,,,
山口県,,山口県,,第一あんしんサービス下関,,訪問介護,下関市幡生宮の下町24－11,,33.984962,130.930786,083-251-6645,,083-251-6643,,下関第一交通株式会社,3570105647,,,,,
山口県,,山口県,,ファイン訪問介護ステーション,,訪問介護,下関市冨任131,,34.025433,130.926865,083-258-4010,,083-258-4133,,株式会社ルナー,3570105662,,,,,
山口県,,山口県,,ケアーズヘルパーステーション,,訪問介護,下関市稗田町9－23,,33.992943,130.930634,083-242-0550,,083-242-0570,,合同会社ケアーズ,3570105811,,,,,
山口県,,山口県,,シンフォニー川棚ヘルパーステーション,,訪問介護,下関市豊浦町川棚6923－6,,34.147514,130.924377,083-775-3200,,083-775-3030,,株式会社ケアオーケストラ,3570106033,,,,,
山口県,,山口県,,ヘルパーステーション ここしあ,,訪問介護,下関市壇之浦町4－28,,33.961929,130.951859,083-228-0700,,083-228-0710,,社会福祉法人 礼和会,3570106041,,,,,
山口県,,山口県,,訪問介護 ハビリス,,訪問介護,下関市勝谷新町1－3－7,,34.003433,130.972305,083-242-9303,,083-242-9202,,合同会社ハビリス,3570106140,,,,,
山口県,,山口県,,ほっとステーション心桜,,訪問介護,下関市長府新松原町10－3,,33.990963,130.987976,083-242-4544,,083-242-4540,,株式会社池田,3570106249,,,,,
山口県,,山口県,,介助派遣事業所セカンド,,訪問介護,下関市竹崎町1－15－33－710　ポラスタービル下関駅前,,33.951328,130.924606,083-228-3999,,083-963-4359,,一般社団法人パーソンズ,3570106322,,,,,
山口県,,山口県,,ニチイケアセンターえげ町,,訪問介護,下関市長府江下町1－46　ＥＬＣＩＡ－Ⅱ　3階　311号室,,34.014019,130.99791,083-241-4207,,083-246-7987,,株式会社ニチイ学館,3570106355,,,,,
山口県,,山口県,,ヘルパーステーションオクトサービス,,訪問介護,下関市綾羅木新町1－13－11,,34.011215,130.920395,083-242-2366,,083-242-2365,,有限会社オクトサービス,3570106389,,,,,
山口県,,山口県,,あさお。ヘルパーステーション,,訪問介護,下関市栄町1－13,,33.963711,130.92688,083-291-3026,,083-265-9753,,株式会社あさお,3570106439,,,,,
山口県,,山口県,,ホームケア土屋下関,,訪問介護,下関市新垢田南町1－13－19　2Ｆ　グリーンベル,,33.987858,130.91806,050-32042418,,050-68682475,,株式会社土屋,3570106553,,,,,
山口県,,山口県,,タイヘイヘルパーステーション,,訪問介護,下関市上新地町2－2－7,,33.961166,130.918518,083-235-5000,,083-235-5001,,株式会社ウィズ,3570106587,,,,,
山口県,,山口県,,こころハウスヘルパーステーション,,訪問介護,下関市菊川町久野94－1,,34.14946,130.967422,083-287-0001,,083-287-0003,,株式会社支援の森,3570106595,,,,,
山口県,,山口県,,ぶちヘルパーステーション山の田,,訪問介護,下関市山の田東町1－20,,33.987839,130.930252,083-242-6776,,083-242-6556,,株式会社アドバンス,3570106629,,,,,
山口県,,山口県,,訪問介護ステーション エクラ,,訪問介護,下関市山の田中央町1－13　武嶋ビル2－Ｂ,,33.986584,130.928192,083-250-7842,,083-250-7843,,株式会社 エクラ,3570106637,,,,,
山口県,,山口県,,ヘルパーステーションひまわり安岡,,訪問介護,下関市安岡1478－1,,34.03587,130.930695,083-250-8753,,083-250-8757,,ひまわり有限会社,3570106728,,,,,
山口県,,山口県,,下関市社協豊浦訪問入浴介護事業所,,訪問入浴介護,下関市豊浦町川棚6895－1,,34.14529,130.924118,083-775-4139,,083-774-3528,,社会福祉法人下関市社会福祉協議会,3570102107,,,,,
山口県,,山口県,,アサヒサンクリーン在宅介護センター下関,,訪問入浴介護,下関市石原71－6　石原テナント,,34.016159,130.951965,050-33177711,,083-249-5441,,アサヒサンクリーン株式会社,3570104004,,,,,
山口県,,山口県,,医療法人 茜会 あかね老人訪問看護ステーション,,訪問看護,下関市上新地町1－5－8－205,,33.959492,130.920624,083-224-2880,,083-224-2886,,医療法人茜会,3560190005,,,,,
山口県,,山口県,,光風園病院訪問看護ステーション,,訪問看護,下関市長府才川2－21－2,,34.024475,130.999954,083-248-5588,,083-249-5272,,医療法人 愛の会,3560190047,,,,,
山口県,,山口県,,医療法人 茜会 勝山訪問看護ステーション,,訪問看護,下関市田倉221－11,,34.012268,130.97348,083-257-4338,,083-257-4346,,医療法人茜会,3560190054,,,,,
山口県,,山口県,,豊前田訪問看護ステーション,,訪問看護,下関市豊前田町2－4－10　弘仁ビル3階,,33.952236,130.926682,083-228-1910,,083-223-2684,,医療法人 其桃会,3560190062,,,,,
山口県,,山口県,,社会医療法人松涛会 松濤会訪問看護ステーション,,訪問看護,下関市彦島江の浦町9－4－5,,33.92981,130.917984,083-266-6888,,083-266-1315,,社会医療法人 松涛会,3560190088,,,,,
山口県,,山口県,,下関市豊浦地域ケアセンター訪問看護ステーション,,訪問看護,下関市豊浦町小串10007－3,,34.176769,130.937637,083-772-2231,,083-772-4605,,社会福祉法人恩賜財団済生会支部山口県済生会,3567890037,,,,,
山口県,,山口県,,あおぞらの里下関訪問看護ステーション,,訪問看護,下関市伊崎町1－1－9　サンヒルズビル2Ｆ,,33.954369,130.920074,083-228-3833,,083-228-3988,,株式会社 シダー,3560190104,,,,,
山口県,,山口県,,アイユウの苑訪問看護サービス,,訪問看護,下関市彦島迫町3－17－2,,33.938328,130.900558,083-261-4337,,083-266-7276,,社会福祉法人 松美会,3560190112,,,,,
山口県,,山口県,,下関市社協 とよた訪問看護ステーション,,訪問看護,下関市豊田町矢田194,,34.202244,131.070801,083-766-2016,,083-766-2029,,社会福祉法人下関市社会福祉協議会,3560190146,,,,,
山口県,,山口県,,下関市社協 ほうほく訪問看護ステーション,,訪問看護,下関市豊北町滝部3140－1,,34.295853,130.946243,083-782-1594,,083-782-1583,,社会福祉法人下関市社会福祉協議会,3560190153,,,,,
山口県,,山口県,,独立行政法人地域医療機能推進機構下関医療センター附属訪問看護ステーション,,訪問看護,下関市新地西町4－1,,33.957882,130.919357,083-250-7116,,083-250-7116,,独立行政法人地域医療機能推進機構,3560190195,,,,,
山口県,,山口県,,訪問看護ステーション にじの丘,,訪問看護,下関市菊川町田部223－1,,34.108871,131.038406,083-287-0564,,083-287-2212,,社会福祉法人菊水会,3560190203,,,,,
山口県,,山口県,,東亜訪問看護ステーション,,訪問看護,下関市一の宮学園町2－2,,34.000916,130.948242,083-257-0195,,083-227-4841,,株式会社東亜悠々の里,3560190237,,,,,
山口県,,山口県,,ファイン訪問看護ステーション,,訪問看護,下関市冨任131,,34.025433,130.926865,083-258-4010,,083-258-4133,,株式会社ルナー,3560190245,,,,,
山口県,,山口県,,訪問看護ステーションたけひさ,,訪問看護,下関市武久町2－53－8,,33.981216,130.917114,083-255-5505,,083-250-8120,,医療法人社団 青寿会,3560190252,,,,,
山口県,,山口県,,セレスト訪問看護ステーション,,訪問看護,下関市秋根南町2－7－28,,34.007561,130.955444,083-250-8111,,083-250-8175,,株式会社セレスト,3560190286,,,,,
山口県,,山口県,,くにのぶ訪問看護ステーション,,訪問看護,下関市新垢田南町1－13－23,,33.988106,130.917831,083-250-8855,,083-250-7477,,医療法人社団卓心会,3560190294,,,,,
山口県,,山口県,,関門医療センタービーンズ訪問看護ステーション,,訪問看護,下関市長府外浦町1－1,,33.9897,130.992935,083-241-1199,,083-241-1362,,独立行政法人国立病院機構,3560190302,,,,,
山口県,,山口県,,訪問看護ステーションデューン下関,,訪問看護,下関市秋根本町1－7－9　新下関ビル301号室,,34.008598,130.950256,083-242-1601,,083-242-1602,,株式会社Ｎ・フィールド,3560190310,,,,,
山口県,,山口県,,笑顔（スマイル）訪問看護サービス,,訪問看護,下関市稗田中町4－18,,33.996746,130.928375,083-250-3588,,083-250-3587,,株式会社プルート,3560190328,,,,,
山口県,,山口県,,ハートケア訪問看護ステーション,,訪問看護,下関市川中豊町3－3－5,,33.997932,130.938995,083-242-1991,,083-242-1990,,有限会社ライフプラス,3560190336,,,,,
山口県,,山口県,,下関病院訪問看護ステーション,,訪問看護,下関市梶栗町4－2－34,,34.017609,130.921066,083-258-0830,,083-227-2480,,医療法人水の木会,3560190344,,,,,
山口県,,山口県,,在宅看護センター ヴィータ,,訪問看護,下関市王喜本町3－7－3,,34.06741,131.053253,083-227-2820,,083-282-4923,,株式会社Ｔ－フォース,3560190351,,,,,
山口県,,山口県,,安夢住ナースセンター,,訪問看護,下関市長府新松原町3－30,,33.992195,130.989075,083-242-5211,,083-242-5215,,有限会社 アムズ,3560190369,,,,,
山口県,,山口県,,訪問看護リハビリステーション ラポル,,訪問看護,下関市王司上町2－5－9,,34.040001,131.01236,083-242-1122,,083-242-2931,,株式会社リハピス,3560190377,,,,,
山口県,,山口県,,フリーナースネットケア Ｈ－Ｎｓサービス,,訪問看護,下関市熊野町2－4－18,,33.99369,130.94397,083-250-6027,,083-250-6056,,キャリアホープ株式会社,3560190385,,,,,
山口県,,山口県,,訪問看護ステーション ゆとり 下関,,訪問看護,下関市形山みどり町15－13　岡田ビル1階1号,,34.01442,130.953751,083-242-0833,,083-242-0834,,合同会社看,3560190427,,,,,
山口県,,山口県,,はるかぜ訪問看護ステーション,,訪問看護,下関市綾羅木本町8－2－23　コーポＩＶＹ　Ａ104号室,,34.006317,130.918655,083-250-9388,,083-963-4377,,株式会社春風,3560190443,,,,,
山口県,,山口県,,訪問看護ステーション 花ごころ,,訪問看護,下関市豊浦町豊洋台1－447－186　ヴィレッタ豊洋台101号室,,34.115192,130.908737,083-249-5164,,083-249-5165,,合同会社Ｋ＆Ｔ,3560190450,,,,,
山口県,,山口県,,ＯＨＡＮＡケアステーション,,訪問看護,下関市岬之町10－8　第7トマトビル305,,33.952396,130.936081,083-249-5663,,083-249-5664,,株式会社 Ｖｉｔａｌｉｔｙ,3560190468,,,,,
山口県,,山口県,,訪問看護ステーション ゆめか,,訪問看護,下関市椋野町3－20－9　イルソーレ2　202号室,,33.979324,130.943527,083-227-2507,,083-255-2100,,株式会社 ケアセラピー,3560190476,,,,,
山口県,,山口県,,はぴれすと訪問看護ステーション,,訪問看護,下関市幡生宮の下町8－12,,33.980213,130.933441,083-242-2000,,083-242-2202,,社会福祉法人夢の会,3560190484,,,,,
山口県,,山口県,,アイユウ訪問リハビリテーション,,訪問リハビリテーション,下関市長府金屋浜町1－5,,34.002235,130.992264,083-246-5453,,083-246-5485,,医療法人 松永会,3570104707,,,,,
山口県,,山口県,,独立行政法人地域医療機能推進機構下関医療センター附属介護老人保健施設,,訪問リハビリテーション,下関市上新地町3－4－36,,33.958889,130.919113,083-233-7850,,083-233-7851,,独立行政法人地域医療機能推進機構,3550180073,,,,,
山口県,,山口県,,アイユウの苑デイサービスセンター,,通所介護,下関市彦島迫町3－17－2,,33.938328,130.900558,083-266-6364,,083-266-7276,,社会福祉法人 松美会,3570100457,,,55名,,
山口県,,山口県,,フェニックスデイサービスセンター,,通所介護,下関市小野64－1,,34.034351,130.962555,083-256-0077,,083-256-5025,,社会福祉法人 暁会,3570100473,,,(1) 70名、(2) 15名,,
山口県,,山口県,,みどり園デイサービスセンター,,通所介護,下関市長府才川2－21－1,,34.024536,130.999893,083-248-3294,,083-249-6171,,社会福祉法人 朋愛会,3570100549,,,30名,,
山口県,,山口県,,デイサービスセンター員光,,通所介護,下関市員光1544,,34.050526,130.984467,083-248-5115,,083-248-5118,,社会福祉法人 やまばと会員光園,3570100598,,,28名,,
山口県,,山口県,,王喜の郷デイサービスセンター,,通所介護,下関市王喜本町6－1－12,,34.063911,131.052368,083-283-2834,,083-283-2060,,社会福祉法人緑樹会,3570100671,,,35名,,
山口県,,山口県,,とよたデイサービスセンター,,通所介護,下関市豊田町荒木10051－2,,34.254292,131.047745,083-768-0587,,083-768-0660,,社会福祉法人 豊寿会,3577800109,,,35名,,
山口県,,山口県,,きくがわ苑デイサービスセンター,,通所介護,下関市菊川町下岡枝1064,,34.133572,131.036057,083-287-1220,,083-287-1270,,社会福祉法人 菊水会,3577800190,,,35名,,
山口県,,山口県,,敬老デイサービスセンター,,通所介護,下関市長府中浜町2－5,,33.99799,130.990234,083-227-2237,,083-245-0235,,医療法人 松永会,3570100846,,,30名,,
山口県,,山口県,,あおぞらの里下関デイサービスセンター,,通所介護,下関市今浦町10－11,,33.953449,130.921341,083-232-5511,,083-229-3320,,株式会社 シダー,3570100929,,,(1) 75名、(2) 35名,,
山口県,,山口県,,デイサービスセンターすずらん後田,,通所介護,下関市後田町3－1－28,,33.972378,130.932556,083-250-8536,,083-250-8546,,有限会社 ゴールデン・エイジ・サービス,3570100960,,,25名,,
山口県,,山口県,,デイサービスセンター 陣屋の森,,通所介護,下関市清末西町1－6－10,,34.064556,131.019073,083-281-2020,,083-281-2031,,社会福祉法人 やまばと会員光園,3570100978,,,28名,,
山口県,,山口県,,デイサービス小月,,通所介護,下関市小月宮の町7－3,,34.074059,131.038132,083-281-3010,,083-281-1220,,株式会社セービング,3570101018,,,50名,,
山口県,,山口県,,はまゆう苑デイサービスセンター,,通所介護,下関市綾羅木新町3－11－40,,34.011292,130.922928,083-251-1112,,083-251-1118,,社会福祉法人 松涛会,3570101430,,,25名,,
山口県,,山口県,,デイサービスセンター大正浪漫館,,通所介護,下関市幡生宮の下町16－3,,33.982773,130.933472,083-252-5900,,083-252-5888,,社会福祉法人さわやか会,3570101455,,,26名,,
山口県,,山口県,,デイサービスセンターあかだ,,通所介護,下関市富任町8－8－3,,34.023678,130.927612,083-258-1511,,083-258-1512,,有限会社ライフケアー,3570101422,,,21名,,
山口県,,山口県,,特定非営利活動法人 デイサービス豆たん,,通所介護,下関市内日下1028－2,,34.101173,130.969711,083-289-2693,,083-289-2694,,特定非営利活動法人豆たん,3570101489,,,42名,,
山口県,,山口県,,ベストライフ川棚 デイサービスセンター,,通所介護,下関市豊浦町吉永10165－1,,34.1297,130.925858,083-775-1165,,083-775-1156,,有限会社ベストライフ,3577800521,,,50名,,
山口県,,山口県,,デイサービスセンターＳＵＮ,,通所介護,下関市豊浦町川棚12139－2,,34.168091,130.95723,083-774-3907,,083-774-3920,,社会福祉法人響会,3577800554,,,33名,,
山口県,,山口県,,あおぞらの里 下関幡生デイサービスセンター,,通所介護,下関市幡生本町12－5,,33.978073,130.928055,083-253-5010,,083-253-5008,,株式会社 シダー,3570102222,,,33名,,
山口県,,山口県,,フロイデ彦島デイサービスセンター,,通所介護,下関市彦島西山町3－12－1,,33.944992,130.879852,083-261-5083,,083-267-1188,,社会福祉法人 松涛会,3570102339,,,25名,,
山口県,,山口県,,デイサービス 新遊楽,,通所介護,下関市彦島江の浦町3－11－12,,33.930477,130.914566,083-266-0123,,083-266-0128,,株式会社セービング,3570102412,,,45名,,
山口県,,山口県,,菊川デイサービスひかり,,通所介護,下関市菊川町下岡枝389－1,,34.127308,131.035873,083-288-2027,,083-288-2028,,株式会社介援,3570102651,,,20名,,
山口県,,山口県,,リゾートデイ 遊とぴあ,,通所介護,下関市彦島弟子待東町8－1,,33.927269,130.925079,083-266-8800,,083-266-8805,,有限会社ホームケア彦島,3570102677,,,41名,,
山口県,,山口県,,愛グループ シャングリラ,,通所介護,下関市みもすそ川町23－1,,33.968121,130.955322,083-231-1165,,083-223-5681,,株式会社 日本セレモニー,3570102750,,,110名,,
山口県,,山口県,,豊寿苑デイサービスセンター,,通所介護,下関市豊浦町厚母郷10442,,34.110443,130.903198,083-772-0107,,083-772-0108,,社会福祉法人 豊浦福祉会,3570102875,,,25名,,
山口県,,山口県,,デイサービス デイホーム川棚,,通所介護,下関市豊浦町川棚1500－3,,34.158245,130.923279,083-774-2266,,083-774-2447,,ティーワス株式会社,3570103139,,,20名,,
山口県,,山口県,,デイサービスセンター道,,通所介護,下関市本町4－14－13,,33.967773,130.950226,083-242-5551,,083-229-1183,,合同会社 有歩道,3570103188,,,23名,,
山口県,,山口県,,ケアライフくろいデイサービスセンター,,通所介護,下関市豊浦町黒井10634－5,,34.119259,130.920685,083-775-1765,,083-775-1766,,有限会社ベストライフ,3570103204,,,50名,,
山口県,,山口県,,やすらぎデイサービスＳＵＮ,,通所介護,下関市豊浦町吉永1815－1,,34.1297,130.925858,083-774-3927,,083-774-3937,,社会福祉法人響会,3570103386,,,20名,,
山口県,,山口県,,三伶デイサービスセンター,,通所介護,下関市一の宮町4－10－19,,33.99509,130.948654,083-260-1261,,083-260-1262,,株式会社燦伶,3570103618,,,30名,,
山口県,,山口県,,デイサービスセンター すずらん,,通所介護,下関市神田町2－13－5,,33.962032,130.923294,083-250-8770,,083-250-8771,,有限会社 ゴールデン・エイジ・サービス,3570103683,,,20名,,
山口県,,山口県,,ハートケアきらら デイサービス,,通所介護,下関市福江浜田1425－1,,34.048141,130.924377,083-262-3401,,083-262-3402,,有限会社ライフプラス,3570103907,,,31名,,
